sub,Gender,race,ses,sctyp,hsp,locus,concpt,mot,car,rdg,wrtg,math,sci,civ
272,Female,White,Low,Public,Standard,.46,.03,.67,16,52.1,56.7,53,47.1,50.6
273,Female,White,Medium,Public,Standard,.46,.03,.33,13,44.7,38.5,45.9,44.4,35.6
274,Female,White,High,Public,Standard,.33,-.26,1,4,52.1,67.1,57,63.4,60.5
275,Female,White,High,Public,Standard,-.44,-.47,1,9,54.8,65.1,66.1,49.8,60.5
276,Male,White,Medium,Public,Technical/Vocational,-1.05,-.34,.67,1,44.2,38.5,41.4,42.3,35.6
277,Female,White,High,Public,College Prep,1.11,.34,1,10,73.3,67.1,62.3,58,65.5
278,Male,White,Low,Public,College Prep,.46,-.18,1,10,52.1,46.3,48.3,58,60.5
279,Male,White,Low,Public,Technical/Vocational,.08,.94,.33,2,49.5,52.8,50.6,48.8,66.8
280,Male,White,High,Public,College Prep,.31,.03,1,10,54.8,48.9,61.2,60.7,55.6
281,Male,White,High,Public,Technical/Vocational,-.18,.03,.67,2,44.2,48.9,56.3,41.7,60.5
282,Female,White,Medium,Public,Standard,.71,-.05,.67,1,52.7,47.6,52.2,45,50.6
283,Male,White,High,Public,College Prep,.02,.13,.33,9,73.3,59.9,70.5,60.7,70.5
284,Male,White,High,Public,College Prep,1.36,1.19,1,9,65.4,48.9,66.3,58,35.6
285,Female,White,Medium,Public,College Prep,0,.03,.67,1,61.1,61.2,62.2,57.4,53.1
286,Female,White,High,Public,College Prep,.52,.34,1,10,65.4,54.1,61.4,58,55.6
287,Female,White,High,Public,College Prep,.66,.34,.67,9,54.8,56.7,61.9,63.4,55.6
288,Male,White,Low,Public,Standard,.25,.65,0,3,49.5,48.9,50.4,63.4,55.6
289,Male,White,High,Public,College Prep,-.38,.03,1,9,60.1,54.1,58,58,60.5
290,Female,White,High,Public,Standard,.46,-1.11,.33,9,65.4,67.1,67,66.1,70.5
291,Female,White,Medium,Public,Standard,.23,.03,1,13,65.4,56.7,65.4,58,70.5
292,Female,White,Low,Public,Technical/Vocational,-1.09,-.9,.67,9,57.4,59.9,50.5,52.6,36.9
293,Female,White,Medium,Public,College Prep,.71,-.55,1,9,60.1,59.3,64.3,60.7,65.5
294,Male,White,Low,Public,College Prep,-.82,-.76,0,1,57.4,43.7,59.6,52.6,50.6
295,Female,White,High,Public,Standard,1.36,.03,.67,14,46.9,59.3,56.3,66.1,60.5
296,Female,White,High,Public,Technical/Vocational,-.14,-.86,0,9,38.9,46.3,50.1,36.3,45.6
297,Female,White,High,Public,College Prep,.46,1.19,.67,10,65.9,64.5,61.8,60.7,60.5
298,Female,White,High,Public,College Prep,.06,.32,1,1,62.7,64.5,70.5,68.8,70.5
299,Male,White,High,Public,Technical/Vocational,-.51,-1.98,0,17,60.1,57.3,58.8,58,50.6
300,Male,White,High,Public,College Prep,.68,.03,.33,9,73.3,64.5,64,60.7,65.5
301,Female,White,High,Public,College Prep,.75,1.19,1,9,60.1,61.9,67.1,49.8,55.6
302,Male,White,Medium,Public,College Prep,.69,.05,.67,10,60.1,59.3,57.9,40.6,65.5
303,Female,White,Low,Public,Standard,-.84,-.24,1,4,54.8,64.5,44.5,52.6,50.6
304,Male,White,High,Public,College Prep,.01,.32,0,16,52.1,41.1,50.6,52.6,55.6
305,Female,White,Medium,Public,Standard,-.16,-.45,.67,4,49.5,54.1,61.9,52.6,50.6
306,Female,White,High,Public,College Prep,-.6,.28,1,9,33.6,41.1,42.9,41.7,50.6
307,Male,White,High,Public,College Prep,.46,.34,1,9,76,52.1,64.1,63.9,60.5
308,Male,White,Low,Public,College Prep,0,.65,.67,7,46.9,33.3,50.4,47.1,55.6
309,Female,White,High,Public,Standard,.32,.9,.67,10,33.6,51.5,41.9,49.8,50.6
310,Male,White,High,Public,College Prep,.52,.65,.33,2,54.3,62.5,56.6,54.7,45.6
311,Male,White,High,Public,Technical/Vocational,.46,.63,.67,2,46.9,52.8,49.3,53.1,35.6
312,Female,White,Medium,Public,College Prep,.66,.03,1,1,52.1,56.7,41.9,52.6,60.5
313,Female,White,Medium,Public,College Prep,.46,-.47,.67,10,50,41.1,45.1,44.4,55.6
314,Male,White,Medium,Public,Standard,.26,.03,1,2,49.5,35.9,47.8,52.6,35.6
315,Female,White,High,Public,College Prep,.91,-.47,.67,10,57.4,59.3,57.2,59.1,65.5
316,Female,White,Medium,Public,Technical/Vocational,1.36,.87,1,4,36.3,43.7,37.2,41.7,40.6
317,Female,White,Medium,Public,College Prep,.02,-1.05,.33,9,60.1,64.5,61.2,60.7,50.6
318,Female,White,Low,Public,Standard,-.44,-.47,.33,9,38.9,46.3,41.9,41.7,45.6
319,Male,White,Low,Public,Technical/Vocational,-.44,-.55,.33,4,46.9,38.5,47.1,41.7,25.7
320,Male,White,Low,Public,Technical/Vocational,.22,.03,.67,16,60.1,41.7,52,52.6,50.6
321,Male,White,Low,Public,Technical/Vocational,-.91,-.59,.67,8,44.2,39.1,46.3,36.3,40.6
322,Male,White,Medium,Public,Standard,-.84,-.57,.33,2,33.6,33.3,41,36.3,35.6
323,Male,White,Medium,Public,Technical/Vocational,.66,.34,.33,2,33.6,38.5,42.9,47.1,45.6
324,Female,White,High,Public,College Prep,.94,.03,1,10,68,56.7,59.6,58,25.7
325,Female,White,Medium,Public,Standard,-.65,.03,.33,9,41.6,39.1,42.3,41.7,40.6
326,Male,White,Low,Public,Standard,1.13,.03,.33,5,45.8,41.7,43.1,53.6,36.9
327,Female,White,Low,Public,Technical/Vocational,1.36,.63,1,1,68,64.5,58.9,63.4,45.6
328,Female,White,Medium,Public,Technical/Vocational,.22,.03,.33,1,52.1,54.7,49.5,53.6,60.5
329,Male,White,High,Public,College Prep,-.43,.03,1,9,52.1,44.3,53.1,58,45.6
330,Male,White,Low,Public,Standard,.28,-.06,.33,2,44.2,30.7,35.3,47.1,45.6
331,Female,White,Low,Public,Standard,-1.99,.03,0,9,39.4,54.1,38.7,47.1,35.6
332,Male,White,Medium,Public,College Prep,-.4,.03,0,10,44.2,33.3,47.8,44.4,45.6
333,Male,White,Medium,Public,Standard,-.03,-.16,0,6,33.6,43.7,42.6,47.1,35.6
334,Female,White,Medium,Public,College Prep,.08,-.24,.33,10,52.1,59.3,48,55.3,60.5
335,Female,White,Medium,Public,Standard,.46,.34,.67,9,62.7,61.9,52.9,44.4,40.6
336,Male,White,High,Public,Standard,.06,.03,.67,11,41.6,39.1,56.3,45,50.6
337,Male,White,Medium,Public,College Prep,-.39,-.28,.67,9,44.2,51.5,51.1,63.4,60.5
338,Female,White,Low,Public,Technical/Vocational,.26,-.26,0,6,49.5,56.7,43.8,47.1,40.6
339,Male,White,Medium,Public,College Prep,.46,.03,1,7,70.7,56.7,51.3,71.5,55.6
340,Male,White,High,Public,College Prep,.47,.01,1,10,68,64.5,61.5,55.3,60.5
341,Female,White,High,Public,College Prep,.71,.03,1,14,68,61.9,72.2,66.1,56.8
342,Female,White,Medium,Public,College Prep,-.16,-.47,.67,9,36.3,61.9,52.2,39,45.6
343,Male,White,Low,Public,Standard,-.37,-.47,.67,9,41.6,48.9,42.6,49.8,55.6
344,Female,White,Low,Public,Standard,.27,-2.52,.33,8,38.9,32,35.3,46.6,51.8
345,Male,White,Medium,Public,College Prep,.71,.34,.67,9,52.1,41.1,51.3,60.7,65.5
346,Female,White,Medium,Public,College Prep,.46,.03,.67,9,57.4,59.3,53.9,49.8,55.6
347,Female,White,High,Public,College Prep,.28,.03,.67,9,62.7,67.1,65.6,61.8,65.5
348,Female,White,Medium,Public,Standard,.46,.03,1,10,65.4,51.5,61.4,60.7,50.6
349,Male,White,High,Public,Technical/Vocational,-1.5,.03,.67,9,33.6,48.9,38.6,42.3,55.6
350,Male,White,High,Public,College Prep,-.41,.28,.33,16,46.9,35.9,42.6,58,55.6
351,Female,White,Medium,Public,College Prep,.32,.9,.67,1,52.1,59.3,58.1,47.1,45.6
352,Female,White,Medium,Public,Standard,.32,.65,1,9,54.8,61.9,58.1,58,60.5
353,Male,White,Medium,Public,College Prep,-.21,-1.13,0,2,38.9,41.1,43.6,55.3,45.6
354,Female,White,Medium,Public,College Prep,-.6,-1.18,.67,1,54.8,59.3,68,49.3,65.5
355,Female,White,Low,Public,Standard,-.4,-.89,.33,8,41.6,56.7,45,50.4,43.1
356,Female,White,Low,Public,Technical/Vocational,-.89,-1.29,.33,9,60.1,64.5,41,52.6,50.6
357,Female,White,Medium,Public,Technical/Vocational,.06,-.28,1,1,65.9,64.5,54.6,60.7,60.5
358,Female,White,High,Public,College Prep,.45,.03,1,4,62.7,51.5,54.4,49.8,50.6
359,Male,White,Medium,Public,College Prep,.22,.32,1,14,49.5,56.7,62.8,49.8,70.5
360,Female,White,High,Public,College Prep,.71,.28,1,11,60.1,64.5,63,68.8,60.5
361,Female,White,Medium,Public,Technical/Vocational,.91,.34,1,1,68,59.3,53,63.4,60.5
362,Male,White,Medium,Public,Standard,0,.65,1,6,54.8,64.5,51.1,49.8,55.6
363,Male,White,Low,Public,Technical/Vocational,-.38,.03,1,8,38.9,41.7,37.7,44.4,45.6
364,Female,White,Medium,Public,College Prep,-.16,-2.58,1,10,52.1,59.3,58.1,52.6,65.5
365,Female,White,Low,Public,Standard,-1.1,-.28,.67,4,38.9,41.1,45.9,47.1,45.6
366,Female,White,Medium,Public,Standard,.93,.03,1,10,65.9,67.1,70.5,52.6,65.5
367,Male,White,High,Public,Standard,.7,-.16,.33,9,68,59.3,55.7,63.4,65.5
368,Male,White,Medium,Public,Technical/Vocational,-.45,-.26,0,2,38.9,35.9,44.2,55.3,55.6
369,Female,White,Medium,Public,Technical/Vocational,.02,-2.03,.67,1,38.9,59.3,39.5,39,50.6
370,Female,White,Low,Public,Technical/Vocational,-.19,-2.58,0,1,41.6,54.1,41,41.7,40.6
371,Male,White,Medium,Public,Standard,.91,-.47,.67,8,44.2,41.1,50.5,58,40.6
372,Male,White,Medium,Public,Standard,.09,-1.42,.33,11,52.1,61.9,59.6,58,55.6
373,Female,White,Low,Public,College Prep,0,.65,1,16,68,64.5,58.3,58.5,55.6
374,Male,White,Low,Public,College Prep,.7,-.16,1,10,49.5,61.9,50.9,46.1,66.8
375,Male,White,Low,Public,Standard,-.6,.56,.33,2,36.3,43.7,44.3,47.1,30.6
376,Male,White,Medium,Public,Standard,-1.33,.03,.67,2,41.6,30.7,56.9,47.1,50.6
377,Female,White,Medium,Public,College Prep,-.16,.03,1,8,57.4,57.3,64,58,65.5
378,Male,White,High,Public,College Prep,.46,.65,1,9,68,54.1,63,63.4,60.5
379,Male,White,High,Public,College Prep,-.33,.38,.67,6,62.7,59.3,56.5,55.3,55.6
380,Female,White,High,Public,Standard,.25,.03,.67,4,49.5,51.5,55.5,44.4,55.6
381,Female,White,Medium,Public,College Prep,.22,-.57,1,1,61.1,67.1,64.5,50.4,55.6
382,Male,White,High,Public,College Prep,.22,1.19,.33,13,38.9,33.3,37.7,47.1,40.6
383,Female,White,Medium,Public,Standard,.27,.03,.67,1,46.9,56.7,63.8,55.3,55.6
384,Male,White,Medium,Public,Technical/Vocational,-2.23,1.19,.33,5,44.2,38.5,41.2,49.8,45.6
385,Female,White,Low,Public,Standard,-.38,.37,.67,4,44.2,43.7,46.1,47.1,50.6
386,Female,White,Medium,Public,College Prep,.06,.65,.33,11,47.4,64.5,53.9,55.8,50.6
387,Female,White,High,Public,College Prep,.89,.88,1,9,52.1,59.3,64,61.2,55.6
388,Female,White,High,Public,Standard,1.13,.03,.33,9,43.2,54.1,54.8,55.3,45.6
389,Female,White,Low,Public,Standard,-1.02,-1.67,.67,5,45.3,43,52.3,60.7,56.8
390,Female,White,High,Public,College Prep,.45,.03,.67,9,60.1,61.9,51.9,53.1,58.1
391,Female,White,High,Public,College Prep,.06,.65,0,9,65.4,59.3,56.8,46.1,65.5
392,Male,White,Low,Public,Technical/Vocational,-1.74,.61,.33,17,45.8,34.6,37.9,39,45.6
393,Male,White,Medium,Public,Technical/Vocational,-1.3,.13,.33,11,44.2,41.1,51.8,47.1,40.6
394,Male,White,Medium,Public,College Prep,.46,.03,0,8,73.3,61.9,73.1,68.8,65.5
395,Female,White,Medium,Public,College Prep,.55,-.24,.67,13,46.9,56.7,54.6,47.1,55.6
396,Female,White,Medium,Public,Technical/Vocational,-.68,.03,.33,17,38.9,38.5,41.2,39,35.6
397,Male,White,Medium,Public,Technical/Vocational,.25,-.26,.33,2,49.5,30.7,40.3,33.6,30.6
398,Female,White,Low,Public,Technical/Vocational,.96,.94,.67,9,46.9,50.2,46.5,47.1,51.8
399,Female,White,Low,Public,Standard,-.24,.03,.67,9,45.8,54.1,49.5,47.1,55.6
400,Male,White,Low,Public,Standard,-.4,.65,.67,5,44.2,43.7,38.6,33.6,45.6
401,Female,White,Low,Public,College Prep,-.4,.03,1,15,44.2,54.1,59.3,58,50.6
402,Female,White,Medium,Public,College Prep,.93,.65,1,6,62.7,59.3,71.3,68.8,60.5
403,Female,White,Low,Public,College Prep,0,.34,1,15,62.7,59.9,65.4,53.6,65.5
404,Female,White,Medium,Public,Standard,-.38,-.47,.67,4,62.7,43.7,44.7,52.6,41.9
405,Male,White,Medium,Public,College Prep,.2,.56,.67,12,60.1,52.8,51.5,58,50.6
406,Male,White,Medium,Public,College Prep,.73,.03,1,16,65.4,59.3,69.6,63.4,50.6
407,Female,White,Medium,Public,Technical/Vocational,.06,.03,1,4,43.2,47.6,45.6,47.1,45.6
408,Male,White,High,Public,College Prep,-.45,-.6,.67,10,52.1,59.9,49.5,48.8,60.5
409,Female,White,High,Public,College Prep,1.13,.03,.67,9,62.7,64.5,64.5,52.6,60.5
410,Female,White,Low,Public,College Prep,-.18,-1.09,.67,15,62.7,56.7,58.8,71.5,60.5
411,Male,White,High,Public,College Prep,.32,.28,.67,16,62.7,63.2,68.9,74.2,70.5
412,Female,White,Medium,Public,Technical/Vocational,.66,-.6,0,15,42.6,56.7,40.3,49.8,50.6
413,Female,White,Medium,Public,Standard,.51,.03,.33,6,60.1,51.5,53.9,63.4,50.6
414,Female,White,Medium,Public,Standard,.08,.03,1,13,54.8,67.1,47.4,49.8,65.5
415,Female,White,Medium,Public,College Prep,.46,-.86,1,14,68,59.3,60.5,55.3,70.5
416,Male,White,Low,Public,College Prep,1.11,-.09,0,9,44.2,48.9,48,49.8,55.6
417,Female,White,Medium,Public,Standard,.07,.34,1,9,65.4,59.3,51.2,60.7,55.6
418,Male,White,Medium,Public,Technical/Vocational,-.89,.56,.33,2,44.2,41.1,40.3,49.8,25.7
419,Male,White,Medium,Public,Technical/Vocational,-.19,.03,.33,2,54.8,51.5,42.8,60.7,50.6
420,Male,White,Low,Public,College Prep,-.27,.94,0,17,44.7,54.1,50.4,45,50.6
421,Male,White,High,Public,Technical/Vocational,-.4,-1.09,.67,7,62.7,43.7,47.1,52.6,55.6
422,Female,White,Medium,Public,College Prep,0,.03,.67,9,62.7,64.5,38.3,55.8,55.6
423,Male,White,Medium,Public,College Prep,.46,-.47,.67,10,68,64.5,70.6,68.8,59.3
424,Female,White,Medium,Public,Technical/Vocational,.75,.34,1,9,47.4,41.7,51.6,38.5,50.6
425,Female,White,Low,Public,Standard,1.36,.65,1,15,46.9,51.5,57,49.8,40.6
426,Male,White,Low,Public,College Prep,.68,.87,1,10,54.8,56.7,56.9,58,70.5
427,Male,White,Medium,Public,Technical/Vocational,.05,-.88,.67,2,62.7,63.2,74.6,71.5,65.5
428,Female,White,Medium,Public,Technical/Vocational,-.84,.03,0,9,36.3,59.3,47.7,39,55.6
429,Male,White,High,Public,Technical/Vocational,1.13,.56,1,6,60.1,48.9,50.4,55.3,65.5
430,Male,White,High,Public,Standard,1.13,.63,.67,10,60.1,64.5,57.9,60.7,65.5
431,Female,White,Medium,Public,Standard,.55,-.6,1,1,54.8,54.1,51.3,41.7,45.6
432,Male,White,High,Public,Standard,.06,.03,1,9,44.2,54.1,51.4,39,45.6
433,Female,White,Medium,Public,Technical/Vocational,-.64,.03,1,4,41.6,46.3,38.4,36.3,45.6
434,Female,White,High,Public,College Prep,.48,.03,1,4,65.4,61.9,60.4,63.4,60.5
435,Female,White,Low,Public,Standard,-.19,-.85,0,15,54.8,60.6,55.5,58,45.6
436,Male,White,High,Public,College Prep,.2,-2.54,0,16,54.8,61.9,63.6,63.4,65.5
437,Female,White,Medium,Public,Technical/Vocational,-.6,-.26,.67,4,49.5,41.1,38.4,52.6,35.6
438,Male,White,Medium,Public,College Prep,-1.33,.03,1,16,36.3,28.1,53.7,33.6,25.7
439,Female,White,Low,Public,College Prep,.68,.88,1,9,46.9,61.9,53,52.6,60.5
440,Female,White,High,Public,College Prep,1.36,.94,1,4,52.1,48.9,51.3,41.7,45.6
441,Female,White,Medium,Public,Standard,.89,.65,.67,9,68,48.9,56.3,63.4,55.6
442,Female,White,Medium,Public,Technical/Vocational,-.14,.13,.67,9,41.6,56.7,51.3,47.1,60.5
443,Male,White,Medium,Public,Technical/Vocational,-.43,-1.22,0,5,41.6,46.9,55.5,44.4,40.6
444,Male,White,Medium,Public,College Prep,.04,.03,.67,9,65.4,51.5,61.2,68.8,60.5
445,Male,White,Low,Public,Standard,.44,-.16,.67,9,62.7,48.9,48.8,66.1,45.6
446,Male,White,Low,Public,College Prep,.65,-.3,1,10,60.1,61.9,74.6,58,60.5
447,Male,White,Medium,Public,Technical/Vocational,-1.33,.65,0,2,40.5,38.5,47.1,44.4,30.6
448,Male,White,Medium,Public,Technical/Vocational,.68,1.19,.33,14,41.6,41.1,57.2,71.5,30.6
449,Male,White,Medium,Public,Technical/Vocational,.1,.03,0,3,62.7,48.9,42.1,66.1,70.5
450,Female,White,High,Public,College Prep,.5,.03,.67,17,68,59.3,58.8,66.1,65.5
451,Female,White,Medium,Public,Technical/Vocational,.02,-.32,1,4,46.9,46.3,52,47.7,45.6
452,Female,White,Medium,Public,Standard,.06,.03,1,17,41.6,46.3,46.2,39,45.6
453,Female,White,Medium,Public,Standard,-.83,.65,.33,4,44.2,59.3,55.5,36.3,55.6
454,Female,White,High,Public,College Prep,.91,.15,0,9,54.8,56.7,55.5,58,60.5
455,Female,White,Low,Public,Standard,.06,.59,1,1,52.1,51.5,45.4,39,50.6
456,Male,White,Medium,Public,Technical/Vocational,-1.57,.65,.33,6,52.1,56.7,45.2,55.3,50.6
457,Male,White,Medium,Public,Technical/Vocational,-1.33,.03,.33,5,38.9,30.7,40.4,39,50.6
458,Male,White,Medium,Public,College Prep,.46,.65,1,16,49.5,48.9,60.5,55.3,55.6
459,Female,White,Medium,Public,Standard,.03,.03,1,11,41.6,43,44.5,39,50.6
460,Male,White,High,Public,College Prep,-.93,-.22,.67,10,65.4,64.5,65.5,60.7,65.5
461,Male,White,Low,Public,College Prep,.24,-.43,.33,16,70.7,43.7,58.8,66.1,60.5
462,Male,White,Medium,Public,Standard,.33,.28,.67,9,52.1,46.3,48.1,55.3,40.6
463,Male,White,Medium,Public,Standard,-.11,.25,1,9,44.2,44.3,45.6,39,50.6
464,Female,White,Medium,Public,College Prep,.94,-.3,1,10,60.1,67.1,52.4,55.3,50.6
465,Male,White,High,Public,Standard,.75,-.49,.33,16,41.6,41.1,41.2,44.4,35.6
466,Female,White,Medium,Public,College Prep,.3,-.6,1,9,49.5,59.3,53.1,60.7,60.5
467,Male,White,Medium,Public,Standard,1.13,.03,1,6,38.9,54.1,47.5,49.8,40.6
468,Male,White,High,Public,Standard,-.16,.03,.33,11,44.2,59.3,49.5,55.3,45.6
469,Male,White,Medium,Public,Standard,.46,.65,1,16,68,59.3,57.9,74.2,65.5
470,Female,White,High,Public,College Prep,1.36,.94,1,10,57.4,64.5,49.9,55.3,55.6
471,Female,White,High,Public,College Prep,.46,.32,.67,16,49.5,54.1,47.8,60.7,50.6
472,Female,White,Medium,Public,Standard,-.4,-.26,.33,15,52.1,54.1,55.3,52.6,50.6
473,Female,White,Medium,Public,Technical/Vocational,.06,.28,1,13,60.1,59.3,56.2,60.7,60.5
474,Female,White,Low,Public,Technical/Vocational,-.61,.36,0,4,44.2,48.9,46.1,47.1,55.6
475,Male,White,High,Public,College Prep,.71,.03,1,10,54.8,61.2,53.7,48.8,60.5
476,Female,White,High,Public,Standard,.23,-.26,0,9,52.1,61.9,56.3,58,55.6
477,Female,White,Medium,Public,College Prep,.46,-.28,1,9,57.4,56.7,56.4,63.4,60.5
478,Female,White,Medium,Public,College Prep,.67,-.59,.67,9,54.8,64.5,55.3,49.8,60.5
479,Female,White,Medium,Public,College Prep,.46,.03,1,10,60.1,64.5,56.3,63.4,60.5
480,Male,White,Low,Public,Technical/Vocational,-.88,-.29,.33,8,44.2,54.1,41,49.8,45.6
481,Female,White,Low,Public,College Prep,.89,.34,.33,10,57.4,61.9,72.2,60.7,60.5
482,Female,White,Medium,Public,Technical/Vocational,.06,-1.07,0,9,38.9,48.9,45.2,44.4,50.6
483,Female,White,Low,Public,Technical/Vocational,.06,-.6,.67,9,62.7,56,57.3,60.7,56.8
484,Female,White,Medium,Public,Technical/Vocational,-.22,-2.27,0,1,57.4,51.5,40.3,60.7,55.6
485,Female,White,Medium,Public,College Prep,.71,.34,0,2,62.7,64.5,57.4,60.7,70.5
486,Female,White,Medium,Public,College Prep,.53,.81,.67,9,54.8,59.3,61.4,47.1,55.6
487,Female,White,Low,Public,College Prep,-.47,-.47,0,1,52.1,57.3,63.7,58,55.6
488,Male,White,High,Public,Technical/Vocational,.43,-.05,.67,12,54.8,45.6,51.8,60.7,45.6
489,Female,White,Medium,Public,College Prep,-.44,-1.13,1,9,54.8,61.9,69.6,60.7,55.6
490,Male,White,Medium,Public,Technical/Vocational,-1.28,.34,.33,9,31,35.9,46.1,39,45.6
491,Female,White,Medium,Public,Standard,-.14,.56,1,4,54.8,61.9,54.6,47.1,45.6
492,Female,White,Low,Public,College Prep,-.14,-1.05,1,9,70.7,65.1,66.4,63.4,60.5
493,Male,White,Low,Public,Technical/Vocational,-.86,.28,1,3,36.3,48.9,54.4,60.7,35.6
494,Female,White,Low,Public,Technical/Vocational,.3,.03,.67,1,36.8,59.3,40.7,49.8,35.6
495,Male,White,Medium,Public,Standard,.68,.03,1,10,65.4,64.5,51.3,66.1,65.5
496,Female,White,Medium,Public,College Prep,.23,.03,1,9,52.1,59.3,52.9,60.7,50.6
497,Female,White,Medium,Public,Technical/Vocational,0,-.18,0,9,62.7,59.3,55.5,45.5,46.8
498,Male,White,Medium,Public,Technical/Vocational,.26,.03,1,8,62.7,59.3,53.2,63.4,55.6
499,Male,White,Medium,Public,Standard,-1.58,-.26,.33,7,62.7,48.9,35.3,66.1,40.6
500,Female,White,Low,Public,Technical/Vocational,.06,.28,1,3,65.9,63.2,50.3,60.1,55.6
501,Male,White,Medium,Public,College Prep,.91,.59,1,10,65.4,67.1,67.1,66.1,61.8
502,Male,White,Medium,Public,College Prep,.28,.32,1,10,52.1,54.1,56.5,55.3,50.6
503,Male,White,High,Public,College Prep,-.19,-.73,.67,10,73.3,60.6,64.7,66.1,65.5
504,Male,White,Medium,Public,College Prep,1.36,.63,1,10,62.7,61.9,68.6,68.8,55.6
505,Male,White,Low,Public,Standard,.71,1.19,.33,3,54.8,59.3,62.5,68.8,45.6
506,Female,White,Medium,Public,College Prep,.25,-.47,.33,10,76,67.1,72.2,66.1,65.5
507,Male,White,Medium,Public,Technical/Vocational,-.4,-.76,.67,7,52.1,35.9,50.3,47.1,50.6
508,Male,White,High,Public,College Prep,.68,-.47,.33,7,46.9,61.9,60.5,68.8,65.5
509,Male,White,Medium,Public,Technical/Vocational,-.41,.34,.67,16,52.1,38.5,57.9,52.6,50.6
510,Male,White,Medium,Public,Technical/Vocational,-.86,1.19,.33,8,33.6,28.1,31.8,39.6,35.6
511,Male,White,Medium,Public,College Prep,-.44,1.19,1,2,60.1,54.1,59.6,55.3,65.5
512,Male,White,Low,Public,Technical/Vocational,-1.1,.03,1,8,38.9,38.5,42.8,41.7,40.6
513,Male,White,High,Public,College Prep,.06,.32,.67,12,49.5,43.7,55.5,68.8,65.5
514,Male,White,Medium,Public,College Prep,.06,.03,0,11,46.9,51.5,57.2,52.6,60.5
515,Male,White,Medium,Public,College Prep,.68,-.26,1,10,62.7,61.9,56.2,47.1,45.6
516,Male,White,Medium,Public,College Prep,.66,.03,.33,6,65.4,59.3,67.1,66.1,65.5
517,Female,White,Low,Public,Standard,.26,.87,1,3,49.5,61.9,61.4,63.4,50.6
518,Male,White,Medium,Public,Standard,.06,.03,1,2,54.8,41.1,42.8,47.1,40.6
519,Male,White,Medium,Private,College Prep,.32,1.19,1,9,57.4,61.9,64,55.8,55.6
520,Male,White,Medium,Private,College Prep,.06,.03,.33,9,68,59.3,71.3,66.1,55.6
521,Male,White,High,Private,College Prep,.46,.34,1,16,52.1,46.3,50.4,52.6,50.6
522,Male,White,Medium,Private,College Prep,0,.65,1,7,52.1,61.9,62.1,58,60.5
523,Female,White,High,Private,Standard,.68,.32,1,15,36.3,56.7,41.9,49.8,40.6
524,Female,White,Medium,Private,College Prep,-.66,-1.07,.67,1,49.5,61.9,60.4,47.1,50.6
525,Female,White,High,Private,College Prep,.48,-.82,.33,9,62.7,64.5,58.2,61.8,61.8
526,Male,White,Medium,Private,College Prep,.71,.03,.33,11,46.9,46.9,41,41.7,50.6
527,Female,White,Medium,Private,College Prep,1.36,-1.18,1,9,62.7,61.9,63.1,60.7,60.5
528,Female,White,High,Private,College Prep,-.19,1.19,1,9,60.1,61.9,54.6,60.7,65.5
529,Male,White,Medium,Private,College Prep,.55,.63,1,16,54.8,59.3,62.3,58,50.6
530,Female,White,High,Private,College Prep,.26,.94,1,10,60.1,59.3,51.8,53.1,55.6
531,Female,White,High,Private,College Prep,.68,.06,.67,1,49.5,51.5,41.2,41.7,45.6
532,Male,White,Medium,Private,Technical/Vocational,0,.34,.33,2,46.9,56.7,57.2,58,45.6
533,Female,White,Low,Private,College Prep,-.17,.03,.67,15,44.2,59.3,45.7,55.3,50.6
534,Male,White,Medium,Private,College Prep,.06,.56,1,10,49.5,56.7,46.2,55.3,50.6
535,Female,White,Medium,Private,College Prep,.52,.34,1,10,46.9,64.5,59.6,49.8,55.6
536,Female,White,High,Private,College Prep,.91,-1.67,.33,9,57.4,54.1,54.8,60.7,60.5
537,Male,White,Medium,Private,Standard,-.4,.65,0,10,52.1,46.3,51.3,58,55.6
538,Female,White,High,Private,College Prep,.46,-.22,1,10,70.7,64.5,68.7,58,70.5
539,Female,White,Medium,Private,College Prep,-.4,-1.34,1,8,57.4,61.9,55.5,49.8,55.6
540,Male,White,Medium,Private,College Prep,.71,1.19,.67,2,54.8,48.9,52.4,58,60.5
541,Male,White,Medium,Private,College Prep,-.14,.34,.33,9,49.5,46.3,44.8,58,60.5
542,Female,White,Medium,Private,College Prep,.52,.03,1,14,46.9,51.5,53.7,41.7,40.6
543,Female,White,High,Private,College Prep,-.47,.28,1,10,65.4,61.9,47.1,60.7,60.5
544,Female,White,Medium,Private,College Prep,.96,.03,.67,11,44.2,51.5,43.2,44.4,50.6
545,Female,White,Medium,Private,College Prep,.91,-.47,1,9,46.9,64.5,55.8,61.8,60.5
546,Female,White,High,Private,College Prep,.02,-.14,0,9,60.1,64.5,67,58.5,66.8
547,Male,White,Medium,Private,College Prep,.47,.03,.67,13,62.7,59.3,48.8,55.3,70.5
548,Female,White,Medium,Private,College Prep,.47,.34,.67,10,33.6,43,41,49.8,35.6
549,Female,White,High,Private,College Prep,.46,.03,1,9,41.6,64.5,47.1,53.1,60.5
550,Female,White,Medium,Private,Technical/Vocational,1.13,.88,.33,1,49.5,51.5,52.7,55.3,55.6
551,Male,White,Medium,Private,College Prep,.96,.63,1,12,65.4,64.5,70.3,66.1,65.5
552,Female,White,Medium,Private,College Prep,.5,-.22,1,9,54.8,61.9,61.3,60.7,50.6
